,美食,酒店,购物中心$百货商场$$家居建材$家电数码,超市$便利店$商铺,生活服务,美容$美发,旅游景点,休闲娱乐,运动健身,教育培训,医疗,汽车服务,飞机场$火车站$地铁站$加油加气站$长途汽车站$公交车站$公交线路口,银行$ATM$信用社,住宅区$宿舍,公司$写字楼,政府机构
90,10,2,16,18,23,6,1,3,0,7,7,14,6,0,78,58,8
91,8,1,0,2,24,4,20,4,7,8,1,1,14,0,65,27,26
92,30,2,5,29,33,12,24,12,0,5,0,1,8,5,90,24,42
93,59,8,21,59,60,9,60,13,1,13,16,6,12,14,82,65,41
94,30,19,9,28,36,6,57,14,0,7,8,4,8,4,120,35,25
95,60,48,33,102,60,60,20,51,6,39,24,6,13,51,102,82,55
96,60,46,31,93,60,39,26,35,4,18,23,5,7,31,99,84,60
97,60,60,40,102,60,109,48,60,16,34,39,3,11,27,120,76,57
98,60,60,28,98,60,120,16,60,25,60,60,8,17,72,120,120,60
99,60,47,12,79,60,42,26,43,18,60,29,6,6,28,120,77,60
100,60,27,12,84,60,42,19,47,14,60,18,2,15,37,111,100,60
101,60,54,130,117,60,67,23,60,15,60,33,9,9,56,118,103,60
102,60,18,14,67,60,52,8,32,11,60,24,5,9,12,120,72,40
103,60,7,19,87,60,53,4,34,6,21,21,7,9,23,115,63,25
104,60,17,62,84,48,23,9,29,6,7,11,9,13,16,76,75,18
105,36,5,8,30,36,14,3,20,0,9,4,10,9,0,85,66,26
106,21,5,2,22,60,9,15,21,1,13,8,2,16,8,89,23,11
107,26,6,6,16,22,8,20,9,2,12,3,9,17,0,92,63,14
108,43,5,7,26,26,6,19,15,1,6,3,5,8,0,86,65,25
109,60,19,28,90,60,28,60,51,0,13,16,5,6,11,104,65,60
110,60,60,28,142,60,67,60,60,12,36,56,3,14,47,108,85,59
111,60,60,36,113,60,64,15,54,12,60,45,7,21,41,103,113,60
112,60,60,126,129,60,120,22,60,21,60,35,7,22,61,120,120,60
113,60,41,81,113,60,120,42,60,45,60,27,15,20,94,106,120,60
114,60,60,64,135,60,100,18,60,31,60,42,11,15,61,107,118,60
115,60,22,16,81,60,37,22,54,13,35,23,7,9,30,104,87,50
116,60,21,8,71,43,16,51,24,4,16,36,0,5,11,89,71,42
117,43,9,5,55,52,20,40,13,11,11,8,1,7,25,120,83,11
118,60,17,7,74,45,13,22,27,4,5,8,1,10,15,71,71,13
119,60,41,28,104,60,22,7,36,6,17,8,4,27,14,110,63,16
120,30,3,7,22,26,11,0,18,1,7,6,4,7,10,77,42,13
121,17,4,63,68,42,9,3,10,1,3,4,34,12,16,72,64,28
122,60,3,31,70,60,24,4,10,5,12,10,33,18,9,120,55,11
123,23,9,15,20,37,10,0,11,2,7,10,12,11,2,87,60,19
124,60,20,14,63,49,34,9,21,5,16,19,7,12,29,87,45,39
125,37,21,9,22,38,13,60,13,0,10,8,3,12,4,91,67,35
126,60,42,27,104,60,61,7,37,10,36,20,4,9,25,107,75,60
127,60,35,36,97,60,61,14,54,4,35,29,5,10,25,95,82,60
128,60,35,22,84,60,101,60,60,8,53,15,5,18,33,100,100,60
129,60,17,22,85,60,33,6,25,2,35,15,5,6,22,112,78,60
130,19,0,1,23,31,7,59,3,3,36,4,1,11,12,70,69,60
